gen,idx,w_pnl,w_sortino,w_mdd,fitness,eval_pnl,eval_sortino,eval_drawdown,eval_ret_mean
5,6,1.3205,1.1749,0.0000,-23.2911,-5.2984,-13.8693,5.9006,-2.7084
5,7,0.7604,1.1476,0.3518,-7.2194,-0.6274,-2.0526,12.4693,-4.4906
5,8,1.2169,1.0785,0.6164,-20.2681,-3.3199,-15.0474,0.0000,-4.5920
5,9,1.6414,0.8974,0.2394,55.2220,6.3073,50.0000,0.0000,-1.9784
5,10,1.7114,0.9780,0.0249,-24.2928,-6.0923,-14.1782,0.0000,-2.3218
5,11,1.4520,0.8174,0.0000,-0.5327,-0.0280,-0.6020,2.0358,-5.2437
5,12,1.0940,0.8189,0.0000,-17.7474,-5.0348,-14.9465,0.0000,-2.1873
5,13,1.1492,0.7203,0.5762,1.6415,0.0993,2.1204,0.0000,-2.0964
5,14,1.9784,1.2880,0.6731,-9.2447,0.2120,0.6289,15.5618,-4.1697
5,15,1.7473,0.9523,0.0000,56.6742,5.1837,50.0000,0.7023,-3.2379
5,16,1.3932,1.1502,0.6077,-12.6461,-2.1816,-8.3520,0.0000,-2.7403
5,17,1.9484,0.8339,0.4714,47.5097,4.7149,50.0000,7.1558,-4.6845
5,18,0.1038,1.7499,0.0000,87.5740,0.7782,50.0000,0.3917,-2.9165
5,19,1.7534,0.7165,0.5883,44.0026,4.6627,50.0000,0.0000,-3.3584
5,20,1.0497,0.7469,0.4868,-11.6913,-4.1419,-9.8322,0.0000,-3.0974
5,21,1.9458,1.1458,1.2812,69.0890,6.1359,50.0000,0.1089,-1.1135
5,22,0.4265,1.5523,0.9056,80.5894,6.9727,50.0000,0.0000,-1.1014
5,23,0.6155,0.5976,0.4097,32.8356,5.1115,50.0000,0.4634,-3.7691
5,24,0.9323,1.1747,0.1828,-21.7254,-3.4669,-15.5055,1.5216,-3.3851
5,25,0.7872,0.4757,0.2342,-11.5212,-5.0434,-15.8742,0.0000,-3.4907
5,26,0.3827,0.9479,0.4291,349.3923,4.0703,370.8495,8.6333,-4.1388
5,27,1.7626,1.2009,0.4010,65.4166,3.0486,50.0000,0.0000,-4.3814
5,28,1.6669,1.3817,0.9287,-19.3443,-3.3168,-9.9993,0.0000,-2.9601
5,29,0.1953,1.5822,1.0843,-24.0123,-2.1830,-12.6282,3.3257,-4.2617
5,30,1.0708,0.8244,0.3119,-5.4458,-0.2942,-0.9013,14.0662,-2.8828
5,31,1.6816,1.1549,0.6865,-27.9260,-5.8554,-15.6555,0.0000,-4.1212
5,32,1.0452,0.5883,0.1919,18.0532,2.0094,27.1183,0.0000,-2.8231
5,33,1.7305,1.6341,1.2146,-38.9700,-9.5422,-13.7423,0.0000,-1.5783
5,34,0.3605,0.9346,1.1403,-16.3035,-4.0993,-15.8629,0.0000,-3.7069
5,35,0.1968,0.8258,0.6309,-9.5485,-1.5761,-11.1873,0.0000,-3.0786
5,36,0.6426,1.2707,1.3745,59.2906,4.5905,50.0000,5.2339,-1.7442
5,37,0.0000,1.8090,1.1489,52.9403,2.1115,29.2647,0.0000,-2.0271
5,38,1.2254,1.5475,1.1097,-27.6839,-2.1577,-15.4601,1.0059,-1.2128
5,39,0.6629,1.4460,0.6742,-12.0269,-0.9135,-4.5116,7.2644,-3.1079
5,40,0.4492,1.6831,1.2837,-22.1877,-1.5665,-9.5177,4.2570,-3.7289
5,41,2.0000,1.2841,1.0949,-33.1490,-5.5018,-15.6496,1.8721,-3.7904
5,42,1.9236,0.8940,0.0000,52.9167,4.2719,50.0000,5.3367,-3.6844
5,43,1.0232,0.5398,0.0000,-14.3150,-5.6862,-15.7424,1.4764,-3.7283
5,44,1.5362,1.2415,0.7855,5.3743,0.8634,7.5864,6.8371,-3.3997
5,45,0.8464,0.2373,0.4946,15.6006,4.4109,50.0000,0.0000,-2.7704
5,46,2.0000,1.1122,0.8566,-28.4156,-4.2405,-10.5316,9.5977,-1.7816
5,47,0.5608,1.6793,0.9747,-32.1469,-5.3449,-12.4597,8.4392,-2.9501
6,0,0.3827,0.9479,0.4291,0.0502,0.0074,0.0499,0.0000,-3.1888
6,1,0.1038,1.7499,0.0000,87.8168,3.1183,50.0000,0.0000,-3.8208
6,2,0.4265,1.5523,0.9056,-1.3206,-0.1202,-0.8177,0.0000,-2.6014
6,3,0.4070,1.5210,1.1402,78.2081,5.3058,50.0000,0.0000,-3.7111
